date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:27:09	557/557	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Sep%202020%2008:27:23%20GMT	https://herfybd.com/robots.txt		(from )
02:27:09	229178/229178	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:27:23%20GMT	https://herfybd.com/	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/index.html	(from )
02:27:10	0/0	---MC-	301	error ('Moved%20Permanently')	application/cgi	date:Wed,%2030%20Sep%202020%2008:27:24%20GMT	http://herfybd.com/webmail	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/webmail.2c.delayed	(from https://herfybd.com/)
02:27:14	570807/570807	U-----	200	untouched ('OK')	text/css	date:Tue,%2026%20Nov%202019%2007:45:16%20GMT	https://herfybd.com/assets/css/stylecrush.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/stylecrush.css	(from https://herfybd.com/)
02:27:14	2818/2818	U-----	200	untouched ('')	image/x-icon	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/favicon.ico	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/favicon.ico	(from https://herfybd.com/)
02:27:15	31000/31000	U-----	200	untouched ('OK')	text/css	date:Mon,%2022%20Oct%202018%2004:43:50%20GMT	https://herfybd.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/font-awesome.min.css	(from https://herfybd.com/)
02:27:15	1683/1683	U-----	200	untouched ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/stylesce.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/stylesce.css	(from https://herfybd.com/)
02:27:15	50/50	U-----	200	untouched ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/print.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/print.css	(from https://herfybd.com/)
02:27:15	183/183	U-----	200	untouched ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/viewportbuggyfill.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/viewportbuggyfill.css	(from https://herfybd.com/)
02:27:15	7899/7899	U-----	200	untouched ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/magnificpopup.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/magnificpopup.css	(from https://herfybd.com/)
02:27:16	212/212	U-----	200	untouched ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/style.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/style.css	(from https://herfybd.com/)
02:27:16	2544/2544	U-----	200	untouched ('OK')	text/css	date:Fri,%2018%20May%202018%2013:09:46%20GMT	https://herfybd.com/assets/css/viewbox.css	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/css/viewbox.css	(from https://herfybd.com/)
